城市,房屋面积,楼层,月租
北京,85.54,2,10000
北京,38.3,3,6300
北京,81.72,1,10500
北京,108.18,3,1868
北京,133,3,11500
北京,75.55,3,2500
北京,34.76,2,4890
北京,87.81,3,5600
北京,42.9,1,5300
北京,68,2,4800
北京,361.99,2,55000
北京,64,2,5630
北京,39.1,2,6500
北京,42.72,2,5790
北京,68.79,3,7200
北京,26,1,4800
北京,91.51,1,4200
北京,47.86,3,5430
北京,65.16,1,5300
北京,66,3,6500
北京,45,2,6800
北京,69.58,2,3700
北京,71.88,3,7500
北京,57.42,2,4200
北京,90,1,4630
北京,64,2,2000
北京,53.04,3,4700
北京,63.1,2,3923
北京,68.92,1,3430
北京,59.88,3,4530
北京,47.44,3,11600
北京,38,2,2200
北京,54.68,3,7000
北京,70,1,6700
北京,79.05,1,3700
北京,61.85,3,5860
北京,84.89,3,6230
北京,78.74,1,4590
北京,51.21,2,5600
北京,40,3,4800
北京,52.71,1,6300
北京,101.27,2,3800
北京,70.14,1,8490
北京,46,1,7000
北京,115,1,12000
北京,75.83,3,8500
北京,359.51,1,30000
北京,91,3,3000
北京,76.38,1,6800
北京,91.45,2,11230
北京,80,3,8500
北京,69,3,7600
北京,62.39,1,5960
北京,68,1,6400
北京,63.1,3,5500
北京,115.46,2,8600
北京,88.54,3,4300
北京,83.44,3,5800
北京,158,3,6000
北京,63.07,1,6963
北京,45.27,1,4760
北京,83.4,3,10000
北京,90.67,3,2700
北京,81.95,3,3448
北京,323,3,20000
北京,38.54,2,4890
北京,54.49,3,5000
北京,93.46,1,8390
北京,105.91,3,12360
北京,252.21,2,40000
北京,69,2,4300
北京,74.09,2,3000
北京,47.21,3,5000
北京,53.98,1,5499
北京,40.72,1,4700
北京,100.39,3,8090
北京,69.2,3,11500
北京,65.82,3,6200
北京,54.78,3,4790
北京,90.8,2,8800
北京,45,3,5860
北京,52.79,1,4800
北京,47,2,7400
北京,87.67,3,10155
北京,58.05,3,3800
北京,100.37,3,6930
北京,39.22,1,6090
北京,64.5,3,7190
北京,89,1,8900
北京,108,2,8999
北京,70,3,5500
北京,53.6,3,6350
北京,62,1,6013
北京,60,3,8430
北京,1149.96,1,5600
北京,58.61,2,4790
北京,87.57,2,8600
北京,91.42,1,2600
北京,38.04,3,4800
北京,61.97,2,6290
北京,89,3,5700
北京,87.93,2,5960
北京,52,3,8690
北京,263.84,1,16000
北京,102.43,3,2600
北京,33.25,1,2900
北京,45.23,2,5890
北京,127.38,1,19900
北京,90,3,3500
北京,70.17,3,3300
北京,81.85,3,10500
北京,210,3,16000
北京,151.09,3,13999
北京,592,1,19000
北京,270.71,1,20000
北京,103.18,2,11500
北京,78.92,3,7500
北京,97.4,1,4300
北京,60.45,3,6860
北京,61,2,2800
北京,66.21,3,6390
北京,42.67,2,4660
北京,70,1,3000
北京,51.56,3,5790
北京,147.35,2,10000
北京,47,2,2900
北京,288,2,23400
北京,144.03,2,12690
北京,78.65,3,4800
北京,74,3,6900
北京,102,2,2100
北京,59,3,4060
北京,188,3,16500
北京,119.53,3,3600
北京,89.27,2,6500
北京,37,1,4047
北京,48,1,5960
北京,55,3,5530
北京,98.88,1,4300
北京,66,3,4100
北京,79,2,6560
北京,48.4,2,9130
北京,40.42,1,5489
北京,94.49,2,11500
北京,99,2,8500
北京,43,3,6000
北京,49.29,2,6589
北京,92,1,7500
北京,177,1,16000
北京,100.24,3,4900
北京,93.58,2,2200
北京,48.51,3,4390
北京,66.9,2,9390
北京,47,2,6700
北京,62.1,1,10000
北京,66.67,3,6500
北京,60,2,2800
北京,55.48,1,7290
北京,109.42,3,5200
北京,56.65,1,7760
北京,55.56,3,6500
北京,62,3,3700
北京,46.53,1,3330
北京,58.95,2,3560
北京,68,3,9500
北京,56.22,2,8530
北京,54.51,3,5730
北京,47.66,3,6230
北京,188.07,1,21000
北京,90,1,5500
北京,88.58,2,5190
北京,39,2,6760
北京,105,1,5500
北京,37.81,3,5300
北京,33.59,1,4790
北京,56.34,3,6290
北京,189.07,2,26000
北京,52.97,3,6490
北京,49,2,5600
北京,60,1,4800
北京,66,3,8260
北京,127.98,2,10000
北京,55,2,3000
北京,42.16,1,3760
北京,94.96,1,18000
北京,67.92,2,4800
北京,226.91,2,13500
北京,102.62,3,7500
北京,75,2,11000
北京,44.21,2,2800
北京,100,3,9900
北京,113.42,1,12000
北京,320,2,26500
北京,83.85,2,5590
北京,36,3,2800
北京,70,2,6000
北京,99.64,1,10090
北京,117.91,3,4600
北京,200,1,18000
北京,58.8,1,7630
北京,153.1,3,16800
北京,106,3,11500
北京,85,3,7500
北京,58.88,2,3900
北京,131.23,3,3000
北京,40,2,5000
北京,61.99,2,5560
北京,198,1,30000
北京,51.3,3,8229
北京,66,2,11000
北京,52.35,2,6790
北京,75.28,3,7760
北京,227.53,2,18000
北京,106.94,2,9500
北京,558,3,180000
北京,35.39,3,5684
北京,69.14,2,3990
北京,24.89,2,2790
北京,37,3,1700
北京,125,2,12000
北京,65.53,3,1200
北京,88.19,2,6800
北京,60,2,5180
北京,134.04,1,5300
北京,287.23,2,43000
北京,60,1,8000
北京,75.57,2,5600
北京,65.01,2,6490
北京,48.61,2,3060
北京,146.39,2,21000
北京,57.56,2,5390
北京,77,2,6300
北京,63,3,4500
北京,125,1,15500
北京,63.8,2,6260
北京,57.12,3,5860
北京,40.33,3,3890
北京,124,1,9000
北京,42.93,2,6300
北京,68.29,3,8012
北京,139,1,6150
北京,80.68,3,6960
北京,55,3,7130
北京,54,2,4500
北京,45,1,4900
北京,132.35,2,9000
北京,86,1,3600
北京,50,3,5500
北京,66.02,3,2100
北京,160,3,12800
北京,122.39,2,3600
北京,265,3,94500
北京,61.01,3,6990
北京,249.93,1,16000
北京,230,1,25000
北京,95,2,1500
北京,90.5,3,5900
北京,40.12,2,6859
北京,39.88,1,3660
北京,152.7,1,10500
北京,58.7,1,5130
北京,103.45,2,4400
北京,65.21,2,6430
北京,86.98,3,5000
北京,219.99,1,24000
北京,40.8,1,5000
北京,77,3,5000
北京,37.3,3,6830
北京,65.58,3,6329
北京,560,1,25000
北京,43,3,2500
北京,103.86,3,5500
北京,46.95,3,6890
北京,135,1,9500
北京,60,3,2700
北京,99.73,1,8000
北京,66,2,10500
北京,28.84,1,4190
北京,152,2,9000
北京,313,1,18000
北京,110.79,2,6800
北京,59.45,1,6890
北京,88.57,2,9300
北京,75.84,3,7399
北京,105.24,2,8500
北京,56.94,1,6790
北京,47,2,4500
北京,61.2,1,8290
北京,81.58,3,7890
北京,80,3,15500
北京,64.53,2,9560
北京,69.17,3,6800
北京,124,2,5900
北京,43,3,5443
北京,45,2,5900
北京,40.3,3,6060
北京,57,3,5500
北京,81,1,6900
北京,52.17,3,4260
北京,117,1,16500
北京,148.86,2,13800
北京,53.31,3,7500
北京,71.8,2,12500
北京,91,3,5800
北京,65.43,1,5490
北京,74.6,3,4560
北京,72,2,3000
北京,140,3,14000
北京,161.54,3,27000
北京,88.4,3,6000
北京,136.79,1,5900
北京,57.08,3,5230
北京,84.65,3,7000
北京,118.66,3,3000
北京,95.22,2,9800
北京,101.11,3,3850
北京,97.42,2,9800
北京,111.51,1,6800
北京,55.98,2,6630
北京,95,1,8000
北京,226.42,1,14500
北京,48.41,2,3700
北京,76.31,1,5130
北京,59.38,2,1400
北京,90.2,1,18500
北京,55,2,8300
北京,56,2,6800
北京,38.04,2,5060
北京,85,1,4300
北京,59.39,1,6790
北京,42.37,1,3930
北京,32.89,2,3500
北京,63.8,3,2800
北京,164.12,3,20500
北京,58,3,6000
北京,39.8,2,3300
北京,86,1,6460
北京,45.38,1,7430
北京,60,1,7500
北京,55.24,2,7760
北京,69,3,4200
北京,94.35,2,4600
北京,115,2,12999
北京,39.07,3,5060
北京,106.59,2,6500
北京,109.54,3,12300
北京,87.34,1,2600
北京,96.33,2,8500
北京,114.59,1,9367
北京,77.04,3,11500
北京,70.3,3,4200
北京,90,1,6100
北京,58.56,3,5947
北京,41.5,3,5530
北京,298.1,1,48000
北京,47.38,3,5130
北京,42,2,6030
北京,73.78,3,6730
北京,152.87,2,21000
北京,68,3,3500
北京,46.9,2,4790
北京,63.43,3,7290
北京,55,3,6000
北京,134,2,6000
北京,59.23,2,8800
北京,50.22,2,4900
北京,57,2,3850
北京,61.64,3,5530
北京,172.98,1,15500
北京,75,3,3400
北京,41.94,1,6390
北京,96,3,9700
北京,102.75,2,7200
北京,92.44,3,15500
北京,69.52,3,7800
北京,115,3,9000
北京,51.61,2,1400
北京,49.45,3,8160
北京,38.62,3,7000
北京,118.33,3,8330
北京,62.15,3,3930
北京,47.48,3,6760
北京,91.4,2,8100
北京,63.78,3,3860
北京,192,3,17000
北京,54.47,2,8030
北京,86,3,4000
北京,45,3,4150
北京,90,1,6000
北京,57.2,2,5600
北京,48.5,2,5700
北京,75.76,1,10490
北京,107,1,8500
北京,86.92,3,9390
北京,50,2,2900
北京,98,1,6200
北京,53,3,5000
北京,65,3,3000
北京,315.98,1,10000
北京,60.3,3,6200
北京,49.23,3,3400
北京,87.25,1,3700
北京,396,1,29000
北京,58.6,1,6800
北京,171.68,2,30000
北京,382,2,90000
北京,80.76,2,8160
北京,83,3,6000
北京,82.92,2,6000
北京,91.55,3,8760
北京,185,3,10000
北京,42.8,1,6990
北京,60.13,2,6130
北京,76,3,22000
北京,322.53,2,70000
北京,158,1,16000
北京,90.8,1,3400
北京,61.6,2,8660
北京,54.89,2,5160
北京,67.27,2,3800
北京,212.12,1,18750
北京,247,1,50000
北京,78.3,1,9200
北京,550,1,45000
北京,259.64,1,90000
北京,315.78,2,35000
北京,282.08,1,22000
北京,62.43,2,12075
北京,80,1,5500
北京,65.7,3,5660
北京,248,3,76000
北京,50.35,1,6189
北京,206.51,1,9900
北京,91,3,18000
北京,77.34,1,8000
北京,220.62,1,20000
北京,45.94,3,5530
北京,136.09,2,2300
北京,87,3,10730
北京,291,2,63000
北京,43.6,2,8129
北京,42,1,6500
北京,122,3,9200
北京,316.92,1,26000
北京,38.07,2,6630
北京,103.17,3,11500
北京,72.11,2,4190
北京,188,2,21800
北京,107.36,2,19000
北京,209.3,2,22000
北京,71.12,2,3830
北京,75.44,1,8760
北京,107.36,2,19000
北京,113.66,1,5800
北京,137.59,1,18000
北京,48.21,1,4400
北京,78,3,8300
北京,123.46,1,10000
北京,294,3,38000
北京,63.9,2,10000
北京,61,1,6600
北京,94.23,1,4960
北京,65.22,3,6390
北京,91.25,1,6500
北京,62.6,3,9390
北京,63.8,1,10000
北京,68,1,7500
北京,73.06,3,3000
北京,102,2,5000
北京,62.25,3,3000
北京,40,3,3000
北京,49.51,3,6000
北京,75,2,6500
北京,91.65,2,8600
北京,27.28,3,2890
北京,52.59,2,6760
北京,88.53,1,2200
北京,53,1,3800
北京,189,3,22000
北京,40.24,3,4890
北京,56.63,3,6930
北京,87.61,3,4400
北京,46.8,2,8730
北京,93.09,1,4000
北京,53,1,5330
北京,120.96,3,4000
北京,60.86,1,5500
北京,55.9,2,8000
北京,46.07,1,5200
北京,66.37,1,4630
北京,44.26,3,4100
北京,95,3,7500
北京,149,1,16000
北京,54,2,6500
北京,273,2,33000
北京,51.8,2,8500
北京,79.07,1,4860
北京,133,1,12500
北京,180,1,13000
北京,84.87,1,4360
北京,39.1,1,6160
北京,187,3,25000
北京,50.77,2,7690
北京,83.24,1,4000
北京,320,2,44500
北京,70,2,6800
北京,114.46,3,13000
北京,101.39,3,1500
北京,898,2,100000
北京,90.52,3,5200
北京,40,1,3100
北京,117,1,7970
北京,71.57,1,3100
北京,88.4,1,7000
北京,400.8,1,40000
北京,141.15,2,20000
北京,157.08,3,14000
北京,290,3,14500
北京,82,2,6200
北京,126.18,3,11030
北京,51.28,1,6900
北京,144.91,1,13000
北京,134,2,7500
北京,79.58,3,8000
北京,44.15,3,4000
北京,69.67,2,8160
北京,86,2,10000
北京,82,3,2600
北京,86.19,3,7139
北京,81.8,3,7590
北京,86.4,1,12500
北京,78,1,5230
北京,95,1,7100
北京,117,1,5500
北京,122.37,1,16000
北京,42.89,2,4800
北京,125,3,4100
北京,57.11,2,5590
北京,57.4,2,8490
北京,45.3,3,6260
北京,158,1,23000
北京,51.99,1,5990
北京,88.05,1,9700
北京,68.23,3,8100
北京,145,1,22000
北京,155,1,15000
北京,105,2,1600
北京,320,2,45000
北京,36.4,1,8260
北京,57.09,1,4900
北京,90,2,3400
北京,163,3,12000
北京,67.15,3,6760
北京,46,3,4100
北京,57.68,1,7729
北京,60,2,3000
北京,43.79,1,5500
北京,56.67,2,6830
北京,72,1,4890
北京,75,1,6000
北京,81,2,6000
北京,68.12,3,9390
北京,58.27,2,3100
北京,76.57,2,9000
北京,130.25,1,10000
北京,51.34,3,5490
北京,65.36,2,3600
北京,80.3,1,7990
北京,40,2,3500
北京,31.7,1,4300
北京,63.28,2,7190
北京,172.02,2,16500
北京,65.2,1,6500
北京,46,2,5660
北京,116.02,1,5500
北京,44.32,1,5490
北京,75.41,3,4142
北京,85,2,4250
北京,30.56,2,1100
北京,107.2,3,12000
北京,83.79,2,6830
北京,96,3,5600
北京,41.86,2,4160
北京,122.8,2,8800
北京,45.9,2,5290
北京,80.88,2,3500
北京,38.74,1,4990
北京,109.45,1,5700
北京,70,1,6860
北京,36.26,3,4660
北京,87,2,2500
北京,70,2,5600
北京,57.51,3,6500
北京,48.31,1,4860
北京,168,3,11000
北京,41.62,3,5330
北京,53.35,2,7200
北京,84,1,7360
北京,60,2,7690
北京,65.68,2,7060
北京,75.99,3,6000
北京,59.26,3,6300
北京,83.42,2,3600
北京,60.06,3,2500
北京,45.73,1,6390
北京,78.43,2,5500
北京,66.2,1,5590
北京,84.5,2,9400
北京,67,3,2000
北京,85.61,1,8330
北京,93,2,6500
北京,55.06,3,5930
北京,74,1,3200
北京,120,3,12830
北京,181.78,1,13000
北京,92.84,3,6300
北京,50.78,2,5260
北京,72.94,3,2100
北京,49,2,6460
北京,93.03,3,1800
北京,90,2,7800
北京,132.24,2,1700
北京,62.8,2,9300
北京,58.7,2,4890
北京,140.65,2,4500
北京,96,1,5900
北京,60.29,1,5500
北京,65.15,2,7800
北京,100,2,10500
北京,41.73,2,5030
北京,56.4,2,9200
北京,61.24,2,2200
北京,60,2,7930
北京,89.6,2,3800
北京,76.5,2,3200
北京,150.57,3,16500
北京,70.24,1,6760
北京,76.82,1,6500
北京,90.07,1,9800
北京,117.18,3,3800
北京,78,2,4100
北京,59.9,1,7990
北京,43,1,2400
北京,66,1,3100
北京,59.23,1,6190
北京,49.8,1,4300
北京,79.69,2,4690
北京,39.91,2,4646
北京,44.4,1,7760
北京,72.53,1,7500
北京,54,3,6800
北京,80.15,1,6330
北京,151.65,2,14500
北京,91,2,5100
北京,110,2,7500
北京,41.86,1,4500
北京,134.94,2,9660
北京,61.87,2,6500
北京,88.91,2,5290
北京,58.9,3,4700
北京,72.32,3,2500
北京,136.03,3,8200
北京,68.86,3,5000
北京,60.68,1,6090
北京,57.17,1,6430
北京,82,2,1800
北京,59.69,1,7289
北京,70.22,2,8400
北京,109.3,2,17500
北京,85,2,4000
北京,87,2,4800
北京,77.38,1,5500
北京,99,2,7200
北京,102.61,2,10600
北京,50.4,2,7677
北京,262.73,2,15000
北京,87.04,3,6500
北京,53.15,2,7630
北京,92,3,6800
北京,170.27,2,6100
北京,114,2,7900
北京,110,1,8578
北京,57.42,3,4700
北京,138.18,1,10500
北京,79.74,2,1625
北京,40.18,1,5713
北京,79.65,3,2300
北京,152.1,1,14660
北京,92.55,3,9360
北京,120,3,5000
北京,73.8,1,7000
北京,141.3,2,10000
北京,142,1,11800
北京,52,2,2800
北京,103,2,8500
北京,75.94,2,5360
北京,84.72,3,11100
北京,49.46,3,5030
北京,108,2,5500
北京,152,2,6500
北京,41.2,2,5348
北京,72,1,9300
北京,108,2,8200
北京,68,3,4500
北京,61.01,2,3500
北京,44.7,3,5500
北京,45.62,2,4960
北京,74.13,2,6090
北京,93.97,3,2300
北京,88.14,3,4499
北京,38,2,5230
北京,58.69,2,4300
北京,57.4,2,8860
北京,68.8,3,7600
北京,61.66,2,10000
北京,80.41,2,3700
北京,55,2,5200
北京,37,1,4790
北京,61.9,1,7500
北京,77.28,2,5900
北京,218,3,80000
北京,153,3,29000
北京,70.3,3,4930
北京,97.35,2,4800
北京,90.59,2,4950
北京,101.97,2,4800
北京,60.09,1,5100
北京,53.15,2,5790
北京,67.32,1,11000
北京,64.7,1,3500
北京,75,1,6360
北京,44.38,2,5443
北京,306.99,1,41000
北京,161.45,3,4500
北京,59.5,3,5390
北京,115.2,1,7600
北京,58,1,7200
北京,41.66,2,4890
北京,101.87,3,6000
北京,58.8,1,9060
北京,107.36,2,19000
北京,45,2,7000
北京,275.22,1,35000
北京,50,3,5490
北京,83,2,3300
北京,61.5,2,9600
北京,224.36,2,19000
北京,192.02,3,5500
北京,96.69,2,10000
北京,44.04,2,5000
北京,86.26,1,5000
北京,64.22,1,7630
北京,145,3,15000
北京,108.97,3,12490
北京,48.36,2,4930
北京,69.3,3,5400
北京,97.11,1,9000
北京,79.8,3,16000
北京,51.99,1,6790
北京,49.86,2,6189
北京,260,3,10000
北京,124,3,3400
北京,82.31,2,2000
北京,64,1,5500
北京,55.14,2,4130
北京,33.44,1,3660
北京,38,3,4500
北京,200,1,16000
北京,36.92,2,4900
北京,61.04,1,5590
北京,61,2,3300
北京,60.44,1,6090
北京,62.9,1,6700
北京,73,2,6200
北京,58,3,5100
北京,62.8,2,8830
北京,53,3,7390
北京,192.02,3,6000
北京,54,2,6800
北京,37.35,3,5990
北京,63.92,3,6730
北京,76.94,3,4000
北京,81,2,7100
北京,58.23,1,7130
北京,104,2,8500
北京,126.75,3,7500
北京,70.69,1,5580
北京,181.16,2,15000
北京,52.5,1,4960
北京,46.53,1,3800
北京,103.34,3,8960
北京,54.45,1,8060
北京,47.59,1,5260
北京,86.49,1,4600
北京,109.56,3,3000
北京,55,2,5900
北京,46.13,1,5990
